% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
215	1	32	15	0	28	549	0	1	0
215	1	34	16	0	28	549	0	1	0
215	1	35	18	0	28	549	0	1	0
215	1	37	20	0	28	549	0	1	0
216	2	1	5	0	14	3182	0	1	1
216	3	20	3	0	8	241	0	1	1
216	3	15	4	0	10	277	0	1	0
216	3	14	7	0	8	241	0	1	1
216	3	13	9	0	4	125	0	1	0
216	3	18	24	0	28	1287	0	1	0
216	3	16	28	0	28	1287	0	1	0
216	4	23	2	0	10	217	0	1	1
216	4	25	3	0	6	141	0	1	1
216	4	28	5	0	18	453	0	1	1
216	4	29	6	0	0	36	0	1	1
216	4	24	7	0	6	141	0	1	1
216	4	22	8	0	8	193	0	1	0
216	4	27	9	0	2	59	0	1	1
216	4	21	12	0	6	141	0	1	1
216	1	47	1	0	10	117	0	1	1
216	1	39	2	0	18	241	0	1	0
216	1	36	5	0	6	75	0	1	1
216	1	38	8	0	0	19	0	1	1
216	1	46	10	0	0	19	0	1	1
216	1	33	12	0	20	293	0	1	0
216	1	40	13	0	28	549	0	1	0
216	1	32	15	0	28	549	0	1	0
216	1	34	16	0	28	549	0	1	0
216	1	35	18	0	28	549	0	1	0
216	1	37	20	0	28	549	0	1	0
217	3	20	3	0	8	349	0	1	1
217	3	15	4	0	10	389	0	1	0
217	3	14	7	0	8	349	0	1	1
217	3	13	9	0	4	177	0	1	1
217	4	23	2	0	10	233	0	1	1
217	4	25	3	0	6	153	0	1	1
217	4	29	6	0	0	41	0	1	1
217	4	24	7	0	6	153	0	1	1
217	4	22	8	0	8	209	0	1	1
217	4	27	9	0	2	65	0	1	1
217	4	21	12	0	6	153	0	1	1
217	1	47	1	0	10	177	0	1	1
217	1	39	2	0	18	373	0	1	1
217	1	36	5	0	6	117	0	1	1
217	1	38	8	0	0	28	0	1	1
217	1	46	10	0	0	28	0	1	1
217	1	33	12	0	20	453	0	1	1
218	3	20	3	0	8	349	0	1	1
218	3	15	4	0	10	389	0	1	1
218	3	14	7	0	8	349	0	1	1
218	3	13	9	0	4	177	0	1	0
218	4	23	2	0	10	233	0	1	1
218	4	25	3	0	6	153	0	1	1
218	4	29	6	0	0	41	0	1	1
218	4	24	7	0	6	153	0	1	1
218	4	22	8	0	8	209	0	1	1
218	4	27	9	0	2	65	0	1	1
218	4	21	12	0	6	153	0	1	0
218	1	47	1	0	10	177	0	1	1
218	1	39	2	0	18	373	0	1	0
218	1	36	5	0	6	117	0	1	1
218	1	38	8	0	0	28	0	1	1
218	1	46	10	0	0	28	0	1	1
218	1	33	12	0	20	453	0	1	0
219	3	20	3	0	8	277	0	1	1
219	3	15	4	0	10	317	0	1	1
219	3	14	7	0	8	277	0	1	1
219	3	13	9	0	4	141	0	1	1
219	3	12	10	0	28	935	1	0	0
219	4	23	2	0	2	65	0	1	1
219	4	25	3	0	6	153	0	1	1
219	4	29	6	0	0	41	0	1	1
219	4	24	7	0	6	153	0	1	1
219	4	22	8	0	8	209	0	1	1
219	4	27	9	0	0	41	0	1	1
219	1	47	1	0	10	97	0	1	1
219	1	39	2	0	18	201	1	0	1
219	1	36	5	0	6	63	0	1	1
219	1	38	8	0	0	15	0	1	1
219	1	41	11	0	28	469	1	0	0
219	1	40	13	0	28	469	1	0	0
219	1	44	14	0	28	469	1	0	0
219	1	32	15	0	28	469	1	0	0
219	1	34	16	0	28	469	1	0	0
219	1	50	17	0	28	469	1	0	0
219	1	35	18	0	28	469	1	0	0
219	1	48	19	0	28	469	1	0	0
219	1	37	20	0	28	469	1	0	1
220	3	20	3	0	8	349	0	1	1
220	3	14	7	0	8	349	0	1	1
220	3	13	9	0	4	177	0	1	1
220	3	12	10	0	28	935	1	0	0
220	4	23	2	0	10	217	1	0	1
220	4	25	3	0	6	153	0	1	1
220	4	29	6	0	0	41	0	1	1
220	4	24	7	0	6	153	0	1	1
220	4	22	8	0	8	209	0	1	1
220	4	27	9	0	0	41	0	1	1
220	4	21	12	0	0	41	0	1	1
220	1	47	1	0	10	117	0	1	1
