% time	cellId	IMSI	RNTI	sinrLinear
0.53	1	46	10	0.646754
0.531	1	41	11	1420.83
0.532	4	21	12	3.03071
0.532	1	33	12	61.7817
0.533	1	40	13	967.409
0.534	1	44	14	2196.57
0.535	1	32	15	4704.89
0.536	1	34	16	686.028
0.537	1	50	17	729.05
0.538	1	35	18	1277.21
0.539	1	48	19	925.982
0.54	1	37	20	48010.2
0.541	2	5	21	8020.76
0.544	3	18	24	5056.73
0.545	4	30	25	5276.95
0.548	2	6	28	5.90202
0.548	3	16	28	7.09519
0.557	3	19	37	3867.64
0.558	3	17	42	4589.45
0.561	2	2	1	17.6085
0.561	3	11	41	0.569906
0.561	4	26	1	0.135624
0.561	1	47	1	8.76272
0.562	4	23	2	9.21245
0.562	1	39	2	37.626
0.563	2	4	3	17.5676
0.563	3	20	3	6.2512
0.563	4	25	3	4.43785
0.563	1	49	3	0.113027
0.564	3	15	4	7.71907
0.564	1	31	4	0.259413
0.565	2	1	5	14.3666
0.565	4	28	5	31.3089
0.565	1	36	5	3.96247
0.566	2	3	6	14.763
0.566	4	29	6	0.729163
0.566	1	45	6	0.546529
0.567	2	7	7	7.12318
0.567	3	14	7	5.18178
0.567	4	24	7	4.68407
0.567	1	43	7	0.41904
0.568	2	8	8	25.4762
0.568	4	22	8	5.715
0.568	1	38	8	0.691603
0.569	2	9	9	13.353
0.569	3	13	9	1.73084
0.569	4	27	9	1.27162
0.569	1	42	9	0.233426
0.57	3	12	10	10.7922
0.57	1	46	10	0.64724
0.571	1	41	11	1424.66
0.572	4	21	12	3.04064
0.572	1	33	12	60.9881
0.573	1	40	13	966.031
0.574	1	44	14	2198.3
0.575	1	32	15	4682.94
0.576	1	34	16	687.213
0.577	1	50	17	727.828
0.578	1	35	18	1275.04
0.579	1	48	19	925.76
0.58	1	37	20	47555.3
0.581	2	5	21	8077.58
0.584	3	18	24	5032.07
0.585	4	30	25	5243.31
0.588	2	6	28	5.91785
0.588	3	16	28	7.13335
0.595	2	10	35	5091.62
0.597	3	19	37	3856.11
0.598	3	17	42	4611.72
0.601	2	2	1	17.7447
0.601	3	11	41	0.569999
0.601	4	26	1	0.134962
0.601	1	47	1	8.64151
0.602	4	23	2	9.18472
0.602	1	39	2	37.5751
0.603	2	4	3	17.6027
0.603	3	20	3	6.24764
0.603	4	25	3	4.48912
0.603	1	49	3	0.113177
0.604	3	15	4	7.59519
0.604	1	31	4	0.259569
0.605	2	1	5	14.1702
0.605	4	28	5	31.0126
0.605	1	36	5	3.98775
0.606	2	3	6	14.6265
0.606	4	29	6	0.722433
0.606	1	45	6	0.548739
0.607	2	7	7	7.06295
0.607	3	14	7	5.22431
0.607	4	24	7	4.69663
