% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2126	1	50	17	0	14	3182	0	1
2127	1	48	19	0	14	3182	0	1
2128	1	31	4	0	12	2481	0	1
2129	1	46	10	0	12	2481	0	1
2130	1	49	3	0	10	1980	0	1
2131	1	45	6	0	8	1764	0	1
2132	1	44	14	0	6	1287	0	1
2133	1	11	22	0	6	1287	0	1
2205	1	7	30	0	14	3182	0	1
2206	1	15	32	0	14	3182	0	1
2207	1	12	31	0	8	1764	0	1
2208	1	10	28	0	22	5861	0	1
2209	1	30	29	0	10	1980	0	1
2210	1	18	25	0	12	2481	0	1
2211	1	17	24	0	24	6882	0	1
2212	1	16	23	0	8	1764	0	1
2213	1	5	21	0	14	3182	0	1
2214	1	41	11	0	18	4107	0	1
2215	1	39	2	0	28	9422	0	1
2216	1	36	5	0	28	9422	0	1
2217	1	33	12	0	28	9422	0	1
2218	1	37	20	0	28	9422	0	1
2219	1	38	8	0	22	5861	0	1
2220	1	42	9	0	16	3822	0	1
2221	1	32	15	0	24	6882	0	1
2222	1	19	26	0	24	6882	0	1
2223	1	40	13	0	20	4904	0	1
2224	1	35	18	0	20	4904	0	1
2225	1	6	27	0	14	3182	0	1
2226	1	43	7	0	18	4107	0	1
2227	1	34	16	0	14	3182	0	1
2228	1	50	17	0	14	3182	0	1
2229	1	48	19	0	14	3182	0	1
2230	1	31	4	0	12	2481	0	1
2231	1	46	10	0	12	2481	0	1
2232	1	49	3	0	10	1980	0	1
2233	1	47	1	0	26	7708	0	1
2234	1	44	14	0	6	1287	0	1
2235	1	11	22	0	6	1287	0	1
2236	1	45	6	0	6	1287	0	1
2237	1	39	2	0	28	9422	0	1
2238	1	36	5	0	28	9422	0	1
2239	1	37	20	0	28	9422	0	1
2240	1	38	8	0	22	5861	0	1
2241	1	35	18	0	20	4904	0	1
2305	1	7	30	0	14	3182	0	1
2306	1	15	32	0	14	3182	0	1
2307	1	12	31	0	8	1764	0	1
2308	1	10	28	0	22	5861	0	1
